식당명,주소1,주소2,위도,경도,행정동
하루이라쿠,대구 수성구 수성로70길 14,(지번) 수성동2가 155-1,35.85557804,128.6146186,수성2.3가동
야사오미나미,대구 수성구 달구벌대로 2346-10,(지번) 수성동3가 255-2,35.8589089,128.618986,수성2.3가동
스시카츠,대구 수성구 들안로56길 61 1층,(지번) 수성동3가 76-1,35.85345394,128.620609,수성2.3가동
토모루,대구 수성구 달구벌대로 2367 수성한도맨션상가 1층 102호,(지번) 수성동4가 985-77,35.85974531,128.6218608,수성4가동
스시해리,대구 수성구 범어천로 151-5,(지번) 수성동4가 985,35.86030542,128.6216632,수성4가동
청산아오야마,대구 수성구 범어천로 155-23,(지번) 수성동4가 980-25,35.86121309,128.6222277,수성4가동
렌스시 본점,대구 수성구 신천동로88길 63,(지번) 수성동4가 1186-11,35.86063174,128.6128471,수성4가동
어대장,대구 수성구 달구벌대로469길 8-2,(지번) 수성동4가 1000-12,35.86018435,128.6198632,수성4가동
참치명가,대구 수성구 범어천로 147-13,(지번) 수성동4가 985-28,35.86019037,128.6218012,수성4가동
미소야 대구수성보성점,대구 수성구 수성로 412 118동 102호,(지번) 수성동4가 1090-6,35.861991,128.6144922,수성4가동
야끼남,대구 수성구 들안로 338 2층,(지번) 수성동4가 1021-6,35.86021964,128.6178602,수성4가동
미가,대구 수성구 수성로 393,(지번) 수성동4가 1090-8,35.86116149,128.6132923,수성4가동
글로리,대구 수성구 들안로 366,(지번) 수성동4가 1014-28,35.86274759,128.6181158,수성4가동
노그,대구 수성구 들안로73길 40-6 1층,(지번) 수성동4가 1117-6,35.8640659,128.6156771,수성4가동
뜨돈 시지광장점,대구 수성구 고산로 100 2층,(지번) 신매동 567-52,35.83957082,128.7048672,고산1동
스시노코 시지점,대구 수성구 달구벌대로 3223 2층,(지번) 신매동 362-5,35.83988301,128.7093108,고산3동
스시랑,대구 수성구 달구벌대로650길 49,(지번) 신매동 128-3,35.83426903,128.7095274,고산1동
우미,대구 수성구 고산로18길 19,(지번) 신매동 568-5,35.83900694,128.7064891,고산1동
하연,대구 수성구 고산로4길 68 1층,(지번) 신매동 606,35.83087925,128.7052215,고산1동
긴자료코 대구수성점,대구 수성구 달구벌대로645길 11 1층,(지번) 신매동 273,35.84024143,128.709789,고산3동
연어아빠 대구본점,대구 수성구 달구벌대로649길 14 아이프라임신매아파트 상가 302동 104호,(지번) 신매동 230,35.83890959,128.712362,고산3동
진성참치 시지점,대구 수성구 고산로18길 11,(지번) 신매동 568-1,35.83912291,128.7058361,고산1동
