식당명,주소1,주소2,위도,경도,행정동
한미버거,대구 수성구 청솔로 118-1,(지번) 범어동 807-20,35.85701137,128.6214443,범어1동
굄레스토랑,대구 수성구 범어천로 73 호텔라온제나 1층,(지번) 범어동 805-4,35.853536,128.6224946,범어1동
잭슨피자 범어점,대구 수성구 동대구로 346,(지번) 범어동 177-1,35.86124244,128.6272058,범어2동
버거리 대구범어점,대구 수성구 상록로 15 140호,(지번) 범어동 2257,35.86111989,128.6230363,범어3동
샐러비샐러드 범어점,대구 수성구 달구벌대로496길 19-3,(지번) 범어동 255-13,35.85693486,128.6344043,범어4동
청년피자 범어점,대구 수성구 국채보상로 938 1층,(지번) 범어동 134-4,35.86698948,128.6329744,범어2동
더쿡,대구 수성구 동대구로 214,(지번) 범어동 711-5,35.84946357,128.6253734,범어1동
후니피자 수성점,대구 수성구 범어로 143,(지번) 범어동 147-21,35.86208493,128.6354718,범어2동
반올림피자샵 범어만촌점,대구 수성구 달구벌대로504길 5 1층,(지번) 범어동 211-15,35.85817199,128.6383365,범어4동
빅스타피자 범어수성점,대구 수성구 들안로 392 1층,(지번) 범어동 1430,35.8650679,128.6183992,범어3동
프레드피자 대구수성구점,대구 수성구 동대구로80길 50 1층,(지번) 범어동 53-24,35.86552756,128.6300025,범어2동
호텔라온제나 마루앤아라레스토랑,대구 수성구 범어천로 73 9층,(지번) 범어동 805-4,35.853536,128.6224946,범어1동
버거룰,대구 수성구 범어로18길 22,(지번) 범어동 2264,35.85680019,128.636545,범어4동
비스트로피자 대구범어점,대구 수성구 범어로18길 58 1층,(지번) 범어동 114-1,35.85708579,128.6387638,범어4동
비블리오,대구 수성구 세진로 20,(지번) 범어동 253-54,35.86169936,128.6377186,범어2동
피자마루 대구범어점,대구 수성구 범어로 83 1층,(지번) 범어동 139-4,35.856969,128.6357092,범어4동
피자나라치킨공주 대구범어점,대구 수성구 동대구로38길 90 1층,(지번) 범어동 665-10,35.85005553,128.6271177,범어1동
샐러드밥 범어점,대구 수성구 들안로78길 45 이편한세상 상가 1층,(지번) 범어동 2240,35.86740453,128.6191038,범어3동
윈디시티,대구 수성구 범어천로 134,(지번) 범어동 548-8,35.85862139,128.6227025,범어1동
우리거서보까,대구 수성구 달구벌대로 2474,(지번) 범어동 197-4,35.85849793,128.6332809,범어4동
피자에땅 범어점,대구 수성구 달구벌대로504길 14-1,(지번) 범어동 210-9,35.8575161,128.6379891,범어4동
이태리중식당,대구 수성구 범어로32길 21,(지번) 범어동 429,35.86486025,128.6363591,범어2동
파스테파스타바,대구 수성구 청솔로20길 38,(지번) 범어동 805-298,35.85266634,128.6230119,범어1동
아메리칸버거,대구 수성구 상록로2길 77 로타리시장 5동 19호,(지번) 범어동 29-1,35.86274694,128.6250658,범어3동
씨엘,대구 수성구 범어천로 126-1,(지번) 범어동 793-7,35.85828936,128.6226663,범어1동
레드스퀘어,대구 수성구 청솔로22길 38 제1동 1,(지번) 범어동 805-118,35.85312491,128.6230741,범어1동
맨인더키친 딜리버리 범어점,대구 수성구 달구벌대로 2491-2 1층,(지번) 범어동 171-3,35.85938069,128.635202,범어2동
다요뜨,대구 수성구 범어로 124-1,(지번) 범어동 225-15,35.86057533,128.6358831,범어2동
스푼필라프,대구 수성구 국채보상로192길 40,(지번) 범어동 429-11,35.86587408,128.6362892,범어2동
봉수아피자 범어만촌점,대구 수성구 범어로 187 1층,(지번) 범어동 136-4,35.8658471,128.6341013,범어2동
갤러리더유,대구 수성구 달구벌대로489길 37-21,(지번) 범어동 159-1,35.86095842,128.6321261,범어2동
그라운드피자 만촌점,대구 수성구 범어로 187,(지번) 범어동 136-4,35.8658471,128.6341013,범어2동
프리바다,대구 수성구 국채보상로186길 81 1층,(지번) 범어동 136-9,35.86469187,128.6341786,범어2동
토브,대구 수성구 달구벌대로 2396,(지번) 범어동 561-3,35.85883918,128.6245436,범어1동
데일리샐러드,대구 수성구 동대구로 251,(지번) 범어동 774-25,35.85290852,128.6246823,범어1동
미생,대구 수성구 범어로 78,(지번) 범어동 266-2,35.85623603,128.635781,범어4동
점빵,대구 수성구 달구벌대로492길 23,(지번) 범어동 202-24,35.85721117,128.6327791,범어4동
파스토보이 시지경산점,대구 수성구 달구벌대로661길 11,(지번) 사월동 322-2,35.83686649,128.7191621,고산3동
비스트로피자 대구시지점,대구 수성구 달구벌대로 3321 1층,(지번) 사월동 380-2,35.83641692,128.7190611,고산3동
파스타플러스 본점,대구 수성구 달구벌대로669길 40,(지번) 사월동 550-3,35.83767858,128.7211639,고산3동
피자빅,대구 수성구 달구벌대로669길 40,(지번) 사월동 550-3,35.83767858,128.7211639,고산3동
비스트로피자 시지점,대구 수성구 달구벌대로 3321,(지번) 사월동 380-9,35.83641692,128.7190611,고산3동
피자인 사월점,대구 수성구 달구벌대로669길 70 시지6차태왕리더스 301동 1층 101호,(지번) 사월동 510-2,35.83819245,128.7211607,고산3동
12키친,대구 수성구 무학로11길 10 1층,(지번) 상동 408-3,35.83015265,128.6151533,상동
플레이트,대구 수성구 수성로 29 2층,(지번) 상동 619-14,35.82805887,128.6101278,상동
존스버거 들안로점,대구 수성구 들안로13길 50 1층,(지번) 상동 52,35.83624378,128.6151517,상동
레스토레오,대구 수성구 무학로11길 28-26,(지번) 상동 397-6,35.8315006,128.6144412,상동
테이스팅테이블,대구 수성구 무학로 43,(지번) 상동 413-17,35.82969592,128.613243,상동
퍼플피자 본점,대구 수성구 들안로9길 68-15 1층,(지번) 상동 397-4,35.83152149,128.6148176,상동
비스트로피자 대구수성점,대구 수성구 신천동로26길 4 1층,(지번) 상동 149-18,35.83662306,128.6072967,상동
딜라이트인,대구 수성구 수성로15길 12-1,(지번) 상동 295-15,35.83305522,128.6104483,상동
타샤의식탁,대구 수성구 수성로19길 21 1층,(지번) 상동 294-3,35.83373633,128.6101709,상동
기프트버거,대구 수성구 수성로 92,(지번) 상동 348-2,35.83354215,128.6117152,상동
핑퐁,대구 수성구 들안로 77,(지번) 상동 49-16,35.83679146,128.6164271,상동
피자엘,대구 수성구 신천동로 94-7,(지번) 상동 205-9,35.83358704,128.6076108,상동
피자알볼로 수성점,대구 수성구 수성로75길 16,(지번) 수성동1가 230,35.85792317,128.6129488,수성1가동
공공피자,대구 수성구 명덕로75길 22 1층,(지번) 수성동1가 262-2,35.85539306,128.61206,수성1가동
코지,대구 수성구 수성로75길 16,(지번) 수성동1가 230,35.85792317,128.6129488,수성1가동
제노아,대구 수성구 명덕로 422 MG뉴턴타워 14층,(지번) 수성동2가 64-1,35.85397341,128.6160702,수성2.3가동
빵위에치즈 대구수성점,대구 수성구 수성로68길 48 1층,(지번) 수성동2가 55-8,35.85492404,128.6162898,수성2.3가동
피자에땅 수성점,대구 수성구 수성로 312,(지번) 수성동2가 267-13,35.85339096,128.6137207,수성2.3가동
딜리셔스홍대피자,대구 수성구 수성로56길 9,(지번) 수성동2가 293-2,35.85116962,128.6138094,수성2.3가동
달려라호랑이 수성점,대구 수성구 수성로68길 8,(지번) 수성동2가 252,35.85503845,128.6141954,수성2.3가동
일리아나,대구 수성구 범어천로 151-3,(지번) 수성동4가 985-41,35.86029679,128.6217953,수성4가동
파인밀,대구 수성구 달구벌대로471길 15 1층,(지번) 수성동4가 1009-9,35.86073331,128.6196508,수성4가동
피자헛 수성2호점,대구 수성구 달구벌대로 2337,(지번) 수성동4가 1085-5,35.85985773,128.6183161,수성4가동
나무와피자,대구 수성구 달구벌대로471길 6,(지번) 수성동4가 996-1,35.86052665,128.620755,수성4가동
조이아,대구 수성구 범어천로 155,(지번) 수성동4가 980-40,35.86071313,128.6221548,수성4가동
라드리,대구 수성구 달구벌대로469길 20 1층,(지번) 수성동4가 1009-29,35.86065682,128.6195025,수성4가동
크루피자,대구 수성구 들안로71길 9-26 1층,(지번) 수성동4가 1028-23,35.86134494,128.6170201,수성4가동
빽보이피자 대구수성점,대구 수성구 들안로 364,(지번) 수성동4가 1015-8,35.86251595,128.6180924,수성4가동
666버거 수성점,대구 수성구 수성로 393 수성하이츠 상가 1층 107-1호,(지번) 수성동4가 1090-8,35.86116149,128.6132923,수성4가동
힘난다버거 대구범어점,대구 수성구 범어천로 171 1층,(지번) 수성동4가 980-3,35.86194419,128.6221332,수성4가동
FINEMEAL,대구 수성구 달구벌대로471길 15,(지번) 수성동4가 1009-9,35.86073331,128.6196508,수성4가동
하야로비,대구 수성구 달구벌대로 2315,(지번) 수성동4가 1085-28,35.86010674,128.6155494,수성4가동
도미노피자 대구시지점,대구 수성구 달구벌대로 3076,(지번) 시지동 247-2,35.84266863,128.6935399,고산2동
카페마테라,대구 수성구 달구벌대로617길 7,(지번) 시지동 135-4,35.84382483,128.6955558,고산2동
엘리펀트피자 시지점,대구 수성구 달구벌대로 3122 고산역화성파크드림 101동 1층 104호,(지번) 시지동 318-1,35.84199608,128.698515,고산2동
가창송하,대구 수성구 알파시티2로 20,(지번) 시지동 583-3,35.83950428,128.691591,고산2동
사월동버거,대구 수성구 달구벌대로652길 11-4 1층,(지번) 신매동 156-4,35.83659843,128.7121237,고산1동
뜨삽 시지직영점,대구 수성구 달구벌대로 3213 1층 1호,(지번) 신매동 366-4,35.84028522,128.7084591,고산3동
안또니아의손파스타집,대구 수성구 고산로 70,(지번) 신매동 580,35.83728085,128.7047163,고산1동
수페부엌 시지점,대구 수성구 달구벌대로650길 51-5 1층,(지번) 신매동 126,35.83395803,128.7095987,고산1동
피자헛 대구신매점,대구 수성구 신매로 56 1층,(지번) 신매동 586-1,35.83435675,128.7081943,고산1동
피자스쿨 대구사월역점,대구 수성구 달구벌대로 3294 시지퍼스트 111호,(지번) 신매동 10-7,35.83639306,128.7158887,고산1동
