식당명,주소1,주소2,위도,경도,행정동,,
퓨전그릴야매,대구 수성구 청수로 118,(지번) 두산동 16,35.83974618,128.620919,두산동,,
모아모찜닭 두산점,대구 수성구 들안로18길 12,(지번) 두산동 56-1,35.83733684,128.6184084,두산동,,
돈터치미,대구 수성구 무학로23길 21,(지번) 두산동 180-4,35.83116702,128.621673,두산동,,
등불참숯,대구 수성구 청수로24길 34,(지번) 두산동 19-14,35.83846652,128.6210819,두산동,,
육본가 고령뒷고기 수성못점,대구 수성구 수성못2길 29,(지번) 두산동 705,35.82590341,128.6237769,두산동,,
고기왕창 통큰육회비빔밥 들안길점,대구 수성구 들안로16길 12 1층,(지번) 두산동 67-1,35.83679155,128.6176527,두산동,,
운수대통삼겹살,대구 수성구 무학로21길 61,(지번) 두산동 146-4,35.83298599,128.6204103,두산동,,
월계수,대구 수성구 무학로21길 8,(지번) 두산동 178-1,35.83037201,128.6206663,두산동,,
대한등심,대구 수성구 상화로 102,(지번) 두산동 135-6,35.8348927,128.6180848,두산동,,
창대한곱창 대구두산점,대구 수성구 들안로8길 85,(지번) 두산동 134-5,35.83478231,128.6204781,두산동,,
봉암식당,대구 수성구 동대구로3길 15,(지번) 두산동 202-1,35.83178439,128.6221206,두산동,,
종가집안동찜닭,대구 수성구 청수로24길 20,(지번) 두산동 19-17,35.83910921,128.6211024,두산동,,
교동낭만,대구 수성구 들안로8길 17,(지번) 두산동 137-22,35.83355276,128.6176515,두산동,,
우찾사,대구 수성구 무학로21길 32,(지번) 두산동 185-4,35.83156876,128.6207705,두산동,,
프리미엄돼지,대구 수성구 들안로14길 70,(지번) 두산동 77-16,35.83602148,128.6208653,두산동,,
충족족발,대구 수성구 무학로23길 89,(지번) 두산동 127-13,35.83418291,128.6218376,두산동,,
풍년식육식당,대구 수성구 들안로 36,(지번) 두산동 152-3,35.83296976,128.6172269,두산동,,
바로구이,대구 수성구 무학로23길 59,(지번) 두산동 190-7,35.83286247,128.6216502,두산동,,
맛있소,대구 수성구 들안로20길 47,(지번) 두산동 20-1,35.83822289,128.6204705,두산동,,
원조아삼겹 본점,대구 수성구 만촌로 105,(지번) 만촌동 426-13,35.86794193,128.6417035,만촌1동,,
녹양구이 만촌점,대구 수성구 화랑로 84,(지번) 만촌동 1326-13,35.87191561,128.6361217,만촌1동,,
꽃돼지생삼겹무한리필,대구 수성구 무열로 69,(지번) 만촌동 994-11,35.86459693,128.6492405,만촌2동,,
낙산가든,대구 수성구 국채보상로 921,(지번) 만촌동 419-9,35.86715491,128.6315103,만촌1동,,
낙동생오리 만촌점,대구 수성구 무열로8길 10-5,(지번) 만촌동 694-1,35.86126795,128.6495816,만촌2동,,
명륜진사갈비 대구만촌점,대구 수성구 화랑로 98,(지번) 만촌동 1327-8,35.8724116,128.6376087,만촌1동,,
벗우,대구 수성구 달구벌대로525길 14-12 2층,(지번) 만촌동 736-3,35.85767928,128.6506826,만촌2동,,
대해생고기,대구 수성구 만촌로 106,(지번) 만촌동 659-5,35.86810515,128.6421432,만촌1동,,
선산곱창인 만촌본점,대구 수성구 무열로 25,(지번) 만촌동 996-11,35.86124074,128.6473157,만촌2동,,
채자순복주막창 만촌동직영점,대구 수성구 동원로28길 13,(지번) 만촌동 1326-30,35.87181067,128.6365086,만촌1동,,
우야지막창,대구 수성구 교학로 40,(지번) 만촌동 872-2,35.85166621,128.6519252,만촌3동,,
고인돌삼겹살전문점,대구 수성구 달구벌대로528길 3,(지번) 만촌동 854-31,35.8561127,128.6504496,만촌3동,,
막창도둑 만촌점,대구 수성구 달구벌대로526길 10,(지번) 만촌동 849-11,35.85685336,128.6488208,만촌3동,,
팔공등갈비,대구 수성구 달구벌대로 2683,(지번) 만촌동 752-2,35.85472367,128.6550879,만촌2동,,
돈오름,대구 수성구 국채보상로 1022 1층,(지번) 만촌동 957-2,35.8657165,128.6421703,만촌2동,,
살겹삼,대구 수성구 화랑로 122,(지번) 만촌동 1329-11,35.87331158,128.6401367,만촌1동,,
청구산호아나고막창,대구 수성구 만촌로 157,(지번) 만촌동 1329-62,35.87261552,128.6404288,만촌1동,,
명동생고기,대구 수성구 만촌로 14 1층,(지번) 만촌동 998-23,35.86055204,128.6453737,만촌2동,,
천일석쇠구이,대구 수성구 무열로 9,(지번) 만촌동 1037-12,35.85982323,128.6462788,만촌2동,,
백광생고기,대구 수성구 국채보상로 937 1층,(지번) 만촌동 419-13,35.86741384,128.6330324,만촌1동,,
쑤뿔돼지갈비,대구 수성구 만촌로 102 1층,(지번) 만촌동 659-11,35.86773548,128.6423229,만촌1동,,
더웰빙가리산삼계탕또백숙,대구 수성구 동원로 123,(지번) 만촌동 1356-7,35.86865033,128.6354933,만촌1동,,
인생생고기,대구 수성구 무열로 9 1층,(지번) 만촌동 1037-13,35.85982323,128.6462788,만촌2동,,
끝돈 범어점,대구 수성구 달구벌대로 2573,(지번) 만촌동 1037,35.85937755,128.6441785,만촌2동,,
영천한우식객,대구 수성구 무열로 59,(지번) 만촌동 994-33,35.86383638,128.6489639,만촌2동,,
