식당명,주소1,주소2,위도,경도,행정동,
솔레이빛나는마카롱,대구 수성구 범어로20길 60 1층,(지번) 범어동 214-30,35.85781891,128.6391763,범어4동,
제주애,대구 수성구 달구벌대로504길 15 2층,(지번) 범어동 117-40,35.85718822,128.6383561,범어4동,
카페담아,대구 수성구 달구벌대로 2540-1,(지번) 범어동 217-20,35.8584207,128.640582,범어4동,
공다정,대구 수성구 달구벌대로480길 9 클래시아 1층 102호,(지번) 범어동 551-7,35.85845949,128.6241804,범어1동,
플리에,대구 수성구 달구벌대로492길 45 1층,(지번) 범어동 204-26,35.85721671,128.635174,범어4동,
스위트홀릭 본점,대구 수성구 국채보상로 988 1층,(지번) 범어동 425-3,35.86616571,128.6382442,범어2동,
토스트카페마리 대구범어점,대구 수성구 달구벌대로 2529 범어에스타워 1층,(지번) 범어동 221-4,35.85918727,128.6392969,범어2동,
혼자로512,대구 수성구 달구벌대로512길 11,(지번) 범어동 63-29,35.85763927,128.6429062,범어4동,
브라운103,대구 수성구 들안로78길 24,(지번) 범어동 1003-1,35.86515475,128.6193507,범어3동,
핑거커피,대구 수성구 범어천로 214,(지번) 범어동 2262,35.86416414,128.6192154,범어3동,
커피유연제,대구 수성구 범어로19길 38 1층,(지번) 범어동 200-23,35.85796176,128.6337115,범어4동,
커피왕 범어점,대구 수성구 달구벌대로504길 7,(지번) 범어동 211-61,35.85801112,128.6383509,범어4동,
카페앤까사,대구 수성구 국채보상로 920-1,(지번) 범어동 128-10,35.86672306,128.6313526,범어2동,
카페홍시,대구 수성구 동대구로80길 24 3층,(지번) 범어동 48-1,35.86557723,128.6287387,범어2동,
이디야커피 대구수성범어천로점,대구 수성구 동대구로49길 8,(지번) 범어동 774-31,35.85249505,128.623998,범어1동,
EAT ART,대구 수성구 국채보상로162길 26 1층,(지번) 범어동 1200,35.86648215,128.6189077,범어3동,
매스커피 수성구청점,대구 수성구 달구벌대로 2476 1층,(지번) 범어동 197-5,35.8584268,128.6335552,범어4동,
레조넌스,대구 수성구 세진로3길 72,(지번) 범어동 403-15,35.86235326,128.6384497,범어2동,
날쌘카페 범어점,대구 수성구 범어로18길 54 1층,(지번) 범어동 117-41,35.8570765,128.6385069,범어4동,
몬스터커피 범어점,대구 수성구 상록로 76,(지번) 범어동 7-9,35.86614445,128.6241506,범어3동,
카페클레오파트라,대구 수성구 청솔로 122,(지번) 범어동 802-3,35.85743564,128.621343,범어1동,
청수67카페,대구 수성구 달구벌대로504길 22 1층,(지번) 범어동 117-36,35.85662095,128.6380524,범어4동,
바삭,대구 수성구 달구벌대로495길 21,(지번) 범어동 153-12,35.86002224,128.634001,범어2동,
연을담다,대구 수성구 청호로85안길 42,(지번) 범어동 65-22,35.85693393,128.6404751,범어4동,
노란토끼,대구 수성구 국채보상로164길 17 2층,(지번) 범어동 1840,35.86651913,128.6210166,범어3동,
카페생활,대구 수성구 청솔로14길 41,(지번) 범어동 805,35.85125888,128.6230296,범어1동,
마크커피,대구 수성구 동대구로 312,(지번) 범어동 190-1,35.85820553,128.6269251,범어1동,
마시그래이 수성범어점,대구 수성구 범어천로 135-7,(지번) 범어동 804-20,35.8588987,128.621726,범어1동,
블루샥 대구범어점,대구 수성구 청솔로14길 15 범어에일린의뜰 상가동 B106호,(지번) 범어동 2272,35.85160882,128.622254,범어1동,
드롭탑 대구두산위브더제니스점,대구 수성구 달구벌대로 2435 301동 B303호,(지번) 범어동 179,35.86098925,128.628268,범어2동,
두낫폴겟,대구 수성구 달구벌대로495길 46 1층,(지번) 범어동 150,35.86112614,128.6344841,범어2동,
브라운커피&라디오비어,대구 수성구 달구벌대로 2398,(지번) 범어동 561-4,35.85875858,128.6247333,범어1동,
카페 훗,대구 수성구 범어로20길 30 예다움 1층,(지번) 범어동 210-44,35.85774266,128.6373935,범어4동,
오가다 수성점,대구 수성구 달구벌대로 2381 1층,(지번) 범어동 558-12,35.85965311,128.6230626,범어3동,
무드데이,대구 수성구 동대구로42길 18 1층,(지번) 범어동 687-19,35.84919359,128.6262652,범어1동,
미키마카롱,대구 수성구 상록로 15,(지번) 범어동 2257,35.86111989,128.6230363,범어3동,
테르커피,대구 수성구 청솔로16길 38 1층,(지번) 범어동 805-45,35.85163849,128.6228529,범어1동,
그레이트오션로드,대구 수성구 달구벌대로504길 14 1층,(지번) 범어동 210-8,35.85759608,128.6380518,범어4동,
까페바우(CafeBau),대구 수성구 달구벌대로488안길 13,(지번) 범어동 389-2,35.85703895,128.6283986,범어1동,
마루모리,대구 수성구 청솔로22길 13-9,(지번) 범어동 806-114,35.85362522,128.6216863,범어1동,
신천커피,대구 수성구 국채보상로 800 1층,(지번) 범어동 1097,35.86759151,128.6180875,범어3동,
스탑바이검은구상,대구 수성구 달구벌대로492길 3,(지번) 범어동 197-13,35.85819648,128.6323211,범어4동,
커피명가 선스포츠점,대구 수성구 범어로 9 1층,(지번) 범어동 332,35.85062616,128.6375344,범어4동,
무인다방 범어힐스테이트점,대구 수성구 범어로18길 22 1층 110호,(지번) 범어동 2264,35.85680019,128.636545,범어4동,
디저트테이블냠냠,대구 수성구 범어로 192,(지번) 범어동 434-18,35.86628725,128.6343172,범어2동,
그릭하다 범어점,대구 수성구 동대구로73길 14 1층,(지번) 범어동 17-7,35.86325531,128.6257491,범어3동,
이끌림스터디카페,대구 수성구 청호로 424,(지번) 범어동 85-2,35.85464039,128.6398782,범어4동,
카페더시즈,대구 수성구 달구벌대로492길 49 1층,(지번) 범어동 204,35.85722977,128.6354792,범어4동,
도로시커피 범어점,대구 수성구 상록로 32,(지번) 범어동 27-10,35.8622508,128.6242507,범어3동,
김사부홈바리스타,대구 수성구 동대구로77길 12 2층,(지번) 범어동 12-7,35.86484559,128.6258796,범어3동,
명품다방,대구 수성구 범어로24길 20 1층,(지번) 범어동 224-8,35.85963182,128.6368898,범어2동,
골목&,대구 수성구 상록로 8-11 1층,(지번) 범어동 40-22,35.86015927,128.6246765,범어3동,
석뮤직,대구 수성구 들안로 399 지하 1층,(지번) 범어동 1297,35.86570393,128.6179911,범어3동,
키다리아저씨의커피볶는집,대구 수성구 범어로 62,(지번) 범어동 271-43,35.85491162,128.6357088,범어4동,
더진스커피 범어점,대구 수성구 범어로20길 102,(지번) 범어동 219-3,35.85785849,128.6413658,범어4동,
몰타 범어점,대구 수성구 상록로2길 72,(지번) 범어동 30-3,35.8627563,128.6254595,범어3동,
텐퍼센트커피 대구범어동천초점,대구 수성구 동대구로77길 12,(지번) 범어동 12-7,35.86484559,128.6258796,범어3동,
아이엠폴,대구 수성구 동대구로59길 14-19 범어역아이위시타워 상가 1,(지번) 범어동 792-43,35.85817119,128.6234154,범어1동,
오퍼커피,대구 수성구 동대구로 334 2층,(지번) 범어동 177-4,35.86003691,128.6271782,범어2동,
르프로코프,대구 수성구 동대구로74길 25,(지번) 범어동 51-11,35.86392291,128.6287199,범어2동,
사랑채 범어점,대구 수성구 국채보상로 938-1 1층,(지번) 범어동 134-5,35.86700772,128.6330839,범어2동,
홍콩다방 범어점,대구 수성구 달구벌대로 2524,(지번) 범어동 211-4,35.85836475,128.6389898,범어4동,
데이데이,대구 수성구 청호로85안길 33,(지번) 범어동 65-91,35.85650863,128.6401953,범어4동,
맘쓰랩,대구 수성구 청호로 411 1층,(지번) 범어동 93-63,35.85395305,128.638382,범어4동,
로드59,대구 수성구 동대구로59길 8,(지번) 범어동 564-3,35.85734357,128.6246557,범어1동,
오레오라,대구 수성구 동대구로 218 1층,(지번) 범어동 675-2,35.84976309,128.6254618,범어1동,
멜번레인,대구 수성구 상록로 15 1층 108호,(지번) 범어동 556-8,35.86111989,128.6230363,범어3동,
에쏘라인,대구 수성구 동대구로73길 14,(지번) 범어동 17-7,35.86325531,128.6257491,범어3동,
앤드슬로우,대구 수성구 달구벌대로495길 46 1층,(지번) 범어동 150,35.86112614,128.6344841,범어2동,
핸썸커피 범어점,대구 수성구 동대구로 336,(지번) 범어동 177,35.8603881,128.62737,범어2동,
더카페아리아 범어점,대구 수성구 동대구로 334,(지번) 범어동 177-4,35.86003691,128.6271782,범어2동,
롤로,대구 수성구 동원로 51,(지번) 범어동 421-26,35.86361835,128.6392433,범어2동,
마타보카커피,대구 수성구 국채보상로 976,(지번) 범어동 426-5,35.8666217,128.6371395,범어2동,
케슬스터디9카페,대구 수성구 범어로12길 6,(지번) 범어동 271-87,35.85431981,128.6365247,범어4동,
아마노커피,대구 수성구 범어로 139 1층,(지번) 범어동 147-3,35.86182796,128.6354962,범어2동,
커핏,대구 수성구 동대구로 311 범어애플타워 1층 102호,(지번) 범어동 563-10,35.85812421,128.6252372,범어1동,
은커피숍,대구 수성구 달구벌대로488길 7,(지번) 범어동 238-49,35.8578168,128.6297018,범어1동,
슬로우,대구 수성구 범어로 83-2,(지번) 범어동 139-3,35.85694164,128.6355741,범어4동,
카페루프앤 범어점,대구 수성구 동대구로73길 10,(지번) 범어동 17-6,35.86322576,128.6258817,범어3동,
라포미 범어점,대구 수성구 동대구로73길 8,(지번) 범어동 14-1,35.86321797,128.6260508,범어3동,
주식회사 몬스터,대구 수성구 달구벌대로480길 21,(지번) 범어동 547-3,35.85843295,128.6240369,범어1동,
카페지금여기,대구 수성구 세진로 25,(지번) 범어동 403,35.86213951,128.6383442,범어2동,
음악카페 낡은라디오,대구 수성구 상록로 50,(지번) 범어동 24-17,35.86388254,128.624161,범어3동,
꽃플라워카페,대구 수성구 동대구로54길 30,(지번) 범어동 373-41,35.85478307,128.6277381,범어1동,
헬로우어게인,대구 수성구 상록로2길 77 로타리시장 5동 17호,(지번) 범어동 29-1,35.86274694,128.6250658,범어3동,
노엘블랑 범어2호점,대구 수성구 국채보상로164길 11,(지번) 범어동 1820,35.86699526,128.6204448,범어3동,
카페 로즈앤코튼,대구 수성구 청호로85안길 32,(지번) 범어동 65-80,35.85633277,128.6402514,범어4동,
마스터,대구 수성구 국채보상로 988,(지번) 범어동 425-3,35.86616571,128.6382442,범어2동,
이름을모찌었습니다,대구 수성구 동대구로 345 1층,(지번) 범어동 35-1,35.86201673,128.6256728,범어3동,
르씨엘 범어점,대구 수성구 동대구로58길 15,(지번) 범어동 592-7,35.85628928,128.6267299,범어1동,
크라운,대구 수성구 동대구로73길 10,(지번) 범어동 17-6,35.86322576,128.6258817,범어3동,
슈가스푼,대구 수성구 범어로 100 1층,(지번) 범어동 205-12,35.85829154,128.635873,범어4동,
주식회사 씨씨스튜디오,대구 수성구 국채보상로 920-1,(지번) 범어동 128-10,35.86672306,128.6313526,범어2동,
텐퍼센트커피 대구범어태왕점,대구 수성구 동대구로 250 태왕유성하이빌아파트 205동 1층 101호,(지번) 범어동 614-3,35.85319247,128.6260674,범어1동,
카페 범어로197,대구 수성구 범어로 197,(지번) 범어동 134-31,35.86682961,128.6335448,범어2동,
