식당명,주소1,주소2,위도,경도,행정동
대구찜닭,대구 수성구 들안로 166-1,(지번) 황금동 814-5,35.84485322,128.6170477,황금2동
달구지막창 황금점,대구 수성구 동대구로 149 코아시스상가 105동 110호,(지번) 황금동 843-1,35.84371703,128.6239175,황금2동
포만식당,대구 수성구 동대구로25길 24,(지번) 황금동 859-4,35.84144679,128.62291,황금2동
밥통령 수성점,대구 수성구 동대구로29길 54-30,(지번) 황금동 831,35.84256656,128.6213409,황금2동
독도회타운,대구 수성구 청솔로12길 40,(지번) 황금동 705-1,35.85004451,128.6229223,황금2동
강구시장식당,대구 수성구 들안로32길 112,(지번) 황금동 837-2,35.84391107,128.6229552,황금2동
베짱이,대구 수성구 청수로 101,(지번) 황금동 889-6,35.84048454,128.6192242,황금2동
승미생고기,대구 수성구 청수로25길 110-5,(지번) 황금동 880-5,35.84166074,128.6181919,황금2동
민물장어구이,대구 수성구 범어천로 8,(지번) 황금동 683-4,35.84790177,128.6241898,황금2동
황금돼지뒷고기,대구 수성구 청솔로 25,(지번) 황금동 729-9,35.84884008,128.6203432,황금2동
삼삼,대구 수성구 희망로36길 60,(지번) 황금동 798-17,35.8456821,128.6208047,황금2동
싱싱회포장배달전문점,대구 수성구 청솔로 36-1 1층,(지번) 황금동 731-6,35.84979282,128.620673,황금2동
싱싱활어직판,대구 수성구 동대구로29길 39,(지번) 황금동 841-1,35.84307311,128.6232884,황금2동
준이식당,대구 수성구 청수로25길 14,(지번) 황금동 849-1,35.84062647,128.6226371,황금2동
맹그노니,대구 수성구 청수로 274,(지번) 황금동 985,35.83978261,128.6375565,황금1동
통영식당,대구 수성구 희망로 198,(지번) 황금동 771-2,35.84629319,128.620396,황금2동
윤식당,대구 수성구 청솔로2길 68,(지번) 황금동 690-16,35.84744814,128.6236761,황금2동
대성식당,대구 수성구 청수로 85,(지번) 황금동 887-3,35.84070507,128.6176299,황금2동
토담골,대구 수성구 청수로35길 123,(지번) 황금동 416,35.84246233,128.6336917,황금1동
와촌손칼국시 황금동직영점,대구 수성구 청수로35길 83-8,(지번) 황금동 968-6,35.84215171,128.6316419,황금1동
한우뭉티기하시래예,대구 수성구 희망로 169,(지번) 황금동 756-7,35.84693966,128.6173539,황금2동
열여섯평국시공장,대구 수성구 범어천로 19,(지번) 황금동 700-1,35.84869795,128.6230543,황금2동
끝장돈,대구 수성구 들안로46길 36,(지번) 황금동 714-12,35.85066437,128.6189785,황금2동
먹거리식당,대구 수성구 청수로45길 151-7,(지번) 황금동 966-4,35.84257893,128.6314572,황금1동
청춘푸드 수성점,대구 수성구 들안로32길 97,(지번) 황금동 796-13,35.84424014,128.6222437,황금2동
우향생고기,대구 수성구 희망로 169,(지번) 황금동 756-7,35.84693966,128.6173539,황금2동
맛나서반갑습니다,대구 수성구 희망로36길 52,(지번) 황금동 799,35.84571786,128.6204986,황금2동
패밀리찜닭 본점,대구 수성구 들안로32길 33,(지번) 황금동 809-16,35.8444751,128.6186872,황금2동
우리동네,대구 수성구 청수로45길 151-4,(지번) 황금동 969-1,35.84248217,128.6311438,황금1동
짱숯불아니고,대구 수성구 범어천로 23-7,(지번) 황금동 702-3,35.8489685,128.6225922,황금2동
고향밥상,대구 수성구 들안로32길 104,(지번) 황금동 836-13,35.84401132,128.6226119,황금2동
정미희사과게장,대구 수성구 청솔로 16,(지번) 황금동 986,35.84827308,128.6207442,황금2동
송화안동찜닭,대구 수성구 청솔로 26,(지번) 황금동 731-1,35.84879766,128.6205816,황금2동
삼겹의대가,대구 수성구 청수로 256-3,(지번) 황금동 194-5,35.84018196,128.6365279,황금1동
자매국수,대구 수성구 범어천로 9,(지번) 황금동 693-1,35.84790294,128.6235435,황금2동
집밥,대구 수성구 들안로46길 8,(지번) 황금동 708-15,35.85073311,128.6173535,황금2동
백번씹는삼겹살집,대구 수성구 청솔로 23-2,(지번) 황금동 729-10,35.8487064,128.6201256,황금2동
우렁각시,대구 수성구 청솔로 11,(지번) 황금동 744-8,35.84757624,128.6202415,황금2동
짱아나고,대구 수성구 범어천로 23-7,(지번) 황금동 702-3,35.8489685,128.6225922,황금2동
황금식당,대구 수성구 청솔로 19,(지번) 황금동 746,35.84839977,128.6199562,황금2동
오늘도삼겹,대구 수성구 청솔로 36,(지번) 황금동 731-27,35.84967714,128.6206578,황금2동
고기파는남자,대구 수성구 청수로25길 48-18,(지번) 황금동 853-1,35.84197322,128.6209353,황금2동
먹어야산닭 황금본점,대구 수성구 들안로46길 8,(지번) 황금동 708-15,35.85073311,128.6173535,황금2동
아나고곰장어,대구 수성구 희망로 195,(지번) 황금동 760-18,35.84667766,128.6201656,황금2동
현미네국수,대구 수성구 범어천로 20,(지번) 황금동 680-2,35.84889456,128.6235565,황금2동
꿀꿀이식당,대구 수성구 청수로 213,(지번) 황금동 365,35.84029338,128.6301483,황금1동
정가네,대구 수성구 청수로35길 135-1,(지번) 황금동 401,35.84253695,128.6345586,황금1동
뜰안집,대구 수성구 청수로 99,(지번) 황금동 889-7,35.84067983,128.619029,황금2동
뚜꺼비구이,대구 수성구 동대구로 201-8,(지번) 황금동 681-1,35.84846993,128.6239506,황금2동
짱한식뷔페,대구 수성구 청수로25길 14,(지번) 황금동 849-1,35.84062647,128.6226371,황금2동
고모역쭈꾸미,대구 수성구 고모로 188,(지번) 고모동 334-1,35.85674633,128.6797202,고산2동
옹심이칼국수 고모점,대구 수성구 고모로 183,(지번) 고모동 337-2,35.8558587,128.6791602,고산2동
팔공산호박오리 수성점,대구 수성구 팔현길 130,(지번) 고모동 89-1,35.86938833,128.6664836,고산2동
다정한,대구 수성구 고모로 187,(지번) 고모동 339-1,35.85623906,128.6786708,고산2동
산너머산아래,대구 수성구 고모로 349-16,(지번) 고모동 105,35.8663218,128.666202,고산2동
산너머그집,대구 수성구 팔현길 126-8,(지번) 고모동 88,35.86955959,128.6670123,고산2동
채담은,대구 수성구 노변로 75-4,(지번) 노변동 152-6,35.83811448,128.6997687,고산2동
달맞이,대구 수성구 고산로 75,(지번) 노변동 71-1,35.83743919,128.7037816,고산2동
낙동생오리 시지점,대구 수성구 노변로 101,(지번) 노변동 14-3,35.84050269,128.7005302,고산2동
최유선암소식육식당,대구 수성구 노변공원로 79,(지번) 노변동 334-2,35.83508885,128.6981935,고산2동
혜성회수산,대구 수성구 노변로 97,(지번) 노변동 123-3,35.8401389,128.7004098,고산2동
고산가야밀면,대구 수성구 노변공원로 87,(지번) 노변동 447,35.8343122,128.6983758,고산2동
